run_id,comparison_group,plot_group,method_family,method_label,supervision,teacher_law,objective,rollout_mode,eta,subset_size,prompt_bank_dir,out_dir,train_log_path,summary_iter,summary_val_loss,summary_val_cot_exact,summary_val_clean_full_exact,summary_val_clean_final_exact,source_file,notes
offline_bc_mc_eta0p05,low_noise_mc_focus,Offline BC MC,offline_bc,Offline BC MC,mc,sample_then_corrupt,offline_bc,sample_then_corrupt,0.05,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-noisy-bc-sample-then-corrupt-n8000000-eta0p05,logs/noisy_bc/s5-noisy-bc-sample-then-corrupt_n8000000_eta0p05.log,125000,0.02488,1.0,1.0,1.0,s5_experiment_log.md,Completed sample-then-corrupt offline BC baseline.
offline_bc_mc_eta0p1,low_noise_mc_focus,Offline BC MC,offline_bc,Offline BC MC,mc,sample_then_corrupt,offline_bc,sample_then_corrupt,0.1,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-noisy-bc-sample-then-corrupt-n8000000-eta0p1,logs/noisy_bc/s5-noisy-bc-sample-then-corrupt_n8000000_eta0p1.log,125000,0.04985,0.9982,0.9982,0.9982,s5_experiment_log.md,Completed sample-then-corrupt offline BC baseline.
offline_bc_mc_eta0p2,low_noise_mc_focus,Offline BC MC,offline_bc,Offline BC MC,mc,sample_then_corrupt,offline_bc,sample_then_corrupt,0.2,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-noisy-bc-sample-then-corrupt-n8000000-eta0p2,logs/noisy_bc/s5-noisy-bc-sample-then-corrupt_n8000000_eta0p2.log,125000,0.10213,0.9874,0.9874,0.9874,s5_experiment_log.md,Completed sample-then-corrupt offline BC baseline.
nail_opd_forward_kl_mc_eta0p05,low_noise_mc_focus,NAIL-OPD forward-KL MC,nail_opd,NAIL-OPD forward-KL MC,mc,distributional_noise,forward_kl_simple,on_policy,0.05,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-opd-forward_kl_simple-n8000000-eta0p05-distributional_noise-t1p0,logs/opd/s5_opd_forward_kl_simple_n8000000_eta0p05_distributional_noise_t1p0.log,125000,0.02660,0.9986,0.9986,0.9986,s5_experiment_log.md,Forward-KL MC NAIL-OPD row inferred from the experiment-log method labeling.
nail_opd_forward_kl_mc_eta0p1,low_noise_mc_focus,NAIL-OPD forward-KL MC,nail_opd,NAIL-OPD forward-KL MC,mc,distributional_noise,forward_kl_simple,on_policy,0.1,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-opd-forward_kl_simple-n8000000-eta0p1-distributional_noise-t1p0,logs/opd/s5_opd_forward_kl_simple_n8000000_eta0p1_distributional_noise_t1p0.log,125000,0.05021,0.9982,0.9982,0.9982,s5_experiment_log.md,Forward-KL MC NAIL-OPD row inferred from the experiment-log method labeling.
nail_opd_forward_kl_mc_eta0p2,low_noise_mc_focus,NAIL-OPD forward-KL MC,nail_opd,NAIL-OPD forward-KL MC,mc,distributional_noise,forward_kl_simple,on_policy,0.2,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-opd-forward_kl_simple-n8000000-eta0p2-distributional_noise-t1p0,logs/opd/s5_opd_forward_kl_simple_n8000000_eta0p2_distributional_noise_t1p0.log,125000,0.11239,0.9278,0.9278,0.9280,s5_experiment_log.md,Forward-KL MC NAIL-OPD row inferred from the experiment-log method labeling.
nail_opd_forward_kl_mc_eta0p3,low_noise_mc_focus,NAIL-OPD forward-KL MC,nail_opd,NAIL-OPD forward-KL MC,mc,distributional_noise,forward_kl_simple,on_policy,0.3,8000000,data/s5_clean_prompt_bank_m21_n15000000_val5000,out-s5-opd-forward_kl_simple-n8000000-eta0p3-distributional_noise-t1p0,logs/opd/s5_opd_forward_kl_simple_n8000000_eta0p3_distributional_noise_t1p0.log,125000,0.17792,0.8932,0.8932,0.8944,s5_experiment_log.md,Included intentionally as the extra NAIL-OPD comparison point beyond eta 0.2.
